Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.055920	  0.001605	 34.845751	0.000000e+00
4000 x 1024	        0.181291	  0.002207	 82.148260	0.000000e+00
8000 x 1024	        0.436380	  0.004402	 99.121388	0.000000e+00
16000 x 1024	        0.920471	  0.008746	105.241166	0.000000e+00
32000 x 1024	        1.964803	  0.016661	117.929040	0.000000e+00
64000 x 1024	        4.056008	  0.040111	101.119405	0.000000e+00
128000 x 1024	        8.229894	  0.127388	 64.604938	0.000000e+00
256000 x 1024	       16.545067	  0.246021	 67.250697	0.000000e+00
512000 x 1024	       33.166902	  0.439652	 75.439066	2.692300e+02
1024000 x 1024	       66.752170	  0.439652	151.829716	2.690965e+02
