Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.029916	  0.012029	  2.487031	0.000000e+00
4000 x 512	        0.096661	  0.018635	  5.187032	0.000000e+00
8000 x 512	        0.218906	  0.022191	  9.864540	0.000000e+00
16000 x 512	        0.461003	  0.032134	 14.346381	0.000000e+00
32000 x 512	        0.956710	  0.035158	 27.211369	0.000000e+00
64000 x 512	        1.997093	  0.058786	 33.972198	0.000000e+00
128000 x 512	        4.089962	  0.104258	 39.229063	0.000000e+00
256000 x 512	        8.261126	  0.244913	 33.730816	0.000000e+00
512000 x 512	       17.111696	  0.405829	 42.164768	0.000000e+00
1024000 x 512	       34.660010	  0.813554	 42.603189	0.000000e+00
