Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.056010	  0.001584	 35.351965	0.000000e+00
4000 x 2048	        0.170471	  0.002166	 78.688492	0.000000e+00
8000 x 2048	        0.398760	  0.004406	 90.507306	0.000000e+00
16000 x 2048	        0.866694	  0.008482	102.181212	0.000000e+00
32000 x 2048	        1.808255	  0.016278	111.082763	0.000000e+00
64000 x 2048	        3.812576	  0.040034	 95.233510	0.000000e+00
128000 x 2048	        7.789912	  0.128820	 60.471372	0.000000e+00
256000 x 2048	       15.819656	  0.336839	 46.965032	0.000000e+00
512000 x 2048	       31.803948	  0.679649	 46.794633	0.000000e+00
1024000 x 2048	       66.010980	  1.355968	 48.681802	0.000000e+00
