Test matrix size        Serial Time      GPU Time       GPU Speedup     Error
2000 x 256              0.006985          0.000698       10.001610      0.000000e+00
4000 x 256              0.025940          0.000630       41.187970      0.000000e+00
8000 x 256              0.054434          0.000974       55.882769      0.000000e+00
16000 x 256             0.112148          0.001649       68.015109      0.000000e+00
32000 x 256             0.226601          0.002859       79.263493      0.000000e+00
64000 x 256             0.454913          0.005186       87.711778      0.000000e+00
128000 x 256            0.916079          0.009935       92.211071      0.000000e+00
256000 x 256            1.879978          0.019919       94.383136      0.000000e+00
512000 x 256            3.873297          0.039273       98.626138      0.000000e+00
1024000 x 256           7.766742          0.066463      116.858052      0.000000e+00

