Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.031472	  0.045552	  0.690892	0.000000e+00
4000 x 512	        0.092351	  0.052181	  1.769807	0.000000e+00
8000 x 512	        0.216624	  0.056583	  3.828446	0.000000e+00
16000 x 512	        0.477306	  0.054665	  8.731394	0.000000e+00
32000 x 512	        0.983213	  0.054975	 17.884694	0.000000e+00
64000 x 512	        2.081230	  0.072727	 28.616912	0.000000e+00
128000 x 512	        4.235212	  0.106582	 39.736816	0.000000e+00
256000 x 512	        8.586011	  0.255047	 33.664391	0.000000e+00
512000 x 512	       17.213372	  0.449282	 38.313060	1.366331e+02
1024000 x 512	       34.632543	  0.449282	 77.084181	1.365545e+02
