Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.029848	  0.000951	 31.376126	0.000000e+00
4000 x 256	        0.100178	  0.001309	 76.542852	0.000000e+00
8000 x 256	        0.216245	  0.002184	 99.029262	0.000000e+00
16000 x 256	        0.463499	  0.004486	103.318971	0.000000e+00
32000 x 256	        0.962971	  0.008572	112.338336	0.000000e+00
64000 x 256	        2.011928	  0.016658	120.781166	0.000000e+00
128000 x 256	        4.184350	  0.052986	 78.971052	0.000000e+00
256000 x 256	        8.400389	  0.140674	 59.715240	0.000000e+00
512000 x 256	       16.820677	  0.225904	 74.459342	0.000000e+00
1024000 x 256	       34.065228	  0.757535	 44.968522	0.000000e+00
