Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.006959	  0.000723	  9.627122	0.000000e+00
4000 x 512	        0.024276	  0.000648	 37.460175	0.000000e+00
8000 x 512	        0.052349	  0.000962	 54.401136	0.000000e+00
16000 x 512	        0.108545	  0.001687	 64.324070	0.000000e+00
32000 x 512	        0.220596	  0.002759	 79.943339	0.000000e+00
64000 x 512	        0.449050	  0.005171	 86.844537	0.000000e+00
128000 x 512	        0.898060	  0.009994	 89.857129	0.000000e+00
256000 x 512	        1.852468	  0.019561	 94.702109	0.000000e+00
512000 x 512	        3.772804	  0.029673	127.145431	0.000000e+00
1024000 x 512	        7.613795	  0.058828	129.425039	0.000000e+00
